prefix;runID;tick;strategistID;p1;p2;p3;actionExecuted;actualProfit;predictedProfit;level;planningHorizon
null;1;764.0;1;0.43;0.1;0.46;BT3;0.0;0.0;2;50.0;
null;1;770.0;1;0.43;0.1;0.46;BT3;0.0;0.0;2;50.0;
null;1;776.0;1;0.43;0.1;0.46;BT1;0.0;0.0;2;50.0;
null;1;782.0;1;0.54;0.15;0.31;BT1;0.0;0.0;2;50.0;
null;1;788.0;1;0.54;0.15;0.31;BT3;0.0;0.0;2;50.0;
null;1;794.0;1;0.54;0.15;0.31;BT3;0.0;0.0;2;50.0;
null;1;796.0;0;0.59;0.36;0.05;RT2;0.0;0.0;2;50.0;
null;1;800.0;1;0.54;0.15;0.31;BT3;0.0;0.0;2;50.0;
null;1;806.0;1;0.54;0.15;0.31;BT3;0.0;0.0;2;50.0;
null;1;812.0;1;0.54;0.15;0.31;BT1;0.0;0.0;2;50.0;
null;1;818.0;1;0.54;0.15;0.31;BT3;0.0;0.0;2;50.0;
null;1;824.0;1;0.54;0.15;0.31;BT1;0.0;0.0;2;50.0;
null;1;830.0;0;0.59;0.36;0.05;RT3;0.0;0.0;2;50.0;
null;1;830.0;1;0.54;0.15;0.31;BT1;0.0;0.0;2;50.0;
null;1;836.0;1;0.15;0.2;0.65;BT2;0.0;0.0;2;50.0;
null;1;842.0;1;0.15;0.2;0.65;BT2;0.0;0.0;2;50.0;
null;1;848.0;1;0.15;0.2;0.65;BT1;0.0;0.0;2;50.0;
null;1;854.0;1;0.15;0.2;0.65;BT1;0.0;0.0;2;50.0;
null;1;860.0;1;0.15;0.2;0.65;BT1;0.0;0.0;2;50.0;
null;1;865.0;0;0.2;0.39;0.41;RT2;0.0;0.0;2;50.0;
null;1;866.0;1;0.15;0.2;0.65;BT1;0.0;0.0;2;50.0;
null;1;872.0;1;0.15;0.2;0.65;BT1;0.0;0.0;2;50.0;
null;1;878.0;1;0.15;0.2;0.65;BT1;0.0;0.0;2;50.0;
